shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint, wrist_3_joint
0.9453,-1.0986,-0.29558,-0.28334,-0.20127,1.9267
0.94531,-1.0986,-0.29561,-0.28334,-0.20126,1.9267
0.94536,-1.0985,-0.29569,-0.28336,-0.20122,1.9268
0.94543,-1.0985,-0.29581,-0.28339,-0.20116,1.9269
0.94554,-1.0984,-0.29599,-0.28344,-0.20107,1.927
0.94568,-1.0983,-0.29622,-0.2835,-0.20095,1.9272
0.94585,-1.0982,-0.29651,-0.28357,-0.20081,1.9274
0.94605,-1.098,-0.29684,-0.28365,-0.20065,1.9276
0.94628,-1.0979,-0.29722,-0.28375,-0.20045,1.9279
0.94654,-1.0977,-0.29766,-0.28385,-0.20024,1.9282
0.94683,-1.0975,-0.29814,-0.28398,-0.19999,1.9285
0.94715,-1.0973,-0.29868,-0.28411,-0.19972,1.9289
0.94751,-1.097,-0.29927,-0.28426,-0.19943,1.9293
0.94789,-1.0968,-0.29991,-0.28442,-0.19911,1.9297
0.94831,-1.0965,-0.3006,-0.28459,-0.19876,1.9302
0.94875,-1.0962,-0.30134,-0.28478,-0.19839,1.9307
0.94923,-1.0958,-0.30214,-0.28497,-0.198,1.9312
0.94973,-1.0955,-0.30298,-0.28519,-0.19757,1.9318
0.95027,-1.0951,-0.30388,-0.28541,-0.19713,1.9324
0.95084,-1.0947,-0.30483,-0.28565,-0.19665,1.9331
0.95144,-1.0943,-0.30582,-0.2859,-0.19615,1.9338
0.95207,-1.0939,-0.30687,-0.28616,-0.19563,1.9345
0.95273,-1.0934,-0.30797,-0.28643,-0.19508,1.9352
0.95342,-1.0929,-0.30913,-0.28672,-0.1945,1.936
0.95414,-1.0924,-0.31033,-0.28702,-0.1939,1.9369
0.9549,-1.0919,-0.31158,-0.28734,-0.19327,1.9377
0.95568,-1.0914,-0.31289,-0.28766,-0.19262,1.9386
0.95649,-1.0908,-0.31425,-0.288,-0.19194,1.9396
0.95734,-1.0902,-0.31565,-0.28835,-0.19124,1.9405
0.95821,-1.0896,-0.31711,-0.28872,-0.19051,1.9415
0.95912,-1.089,-0.31862,-0.2891,-0.18975,1.9426
0.96006,-1.0883,-0.32019,-0.28949,-0.18897,1.9436
0.96102,-1.0876,-0.3218,-0.28989,-0.18817,1.9447
0.96202,-1.087,-0.32346,-0.29031,-0.18733,1.9459
0.96305,-1.0862,-0.32518,-0.29073,-0.18648,1.9471
0.96411,-1.0855,-0.32694,-0.29118,-0.18559,1.9483
0.9652,-1.0847,-0.32876,-0.29163,-0.18468,1.9495
0.96632,-1.084,-0.33063,-0.2921,-0.18375,1.9508
0.96748,-1.0832,-0.33255,-0.29258,-0.18279,1.9521
0.96866,-1.0823,-0.33452,-0.29307,-0.1818,1.9535
0.96987,-1.0815,-0.33654,-0.29358,-0.18079,1.9549
0.97112,-1.0806,-0.33862,-0.29409,-0.17976,1.9563
0.97239,-1.0798,-0.34074,-0.29463,-0.17869,1.9578
0.9737,-1.0788,-0.34292,-0.29517,-0.17761,1.9593
0.97503,-1.0779,-0.34515,-0.29573,-0.17649,1.9608
0.9764,-1.077,-0.34742,-0.2963,-0.17535,1.9624
0.9778,-1.076,-0.34975,-0.29688,-0.17419,1.964
0.97923,-1.075,-0.35213,-0.29747,-0.173,1.9656
0.98068,-1.074,-0.35457,-0.29808,-0.17178,1.9673
0.98217,-1.073,-0.35705,-0.2987,-0.17054,1.969
0.9837,-1.0719,-0.35958,-0.29934,-0.16927,1.9707
0.98525,-1.0708,-0.36217,-0.29998,-0.16798,1.9725
0.98683,-1.0697,-0.36481,-0.30064,-0.16666,1.9743
0.98844,-1.0686,-0.36749,-0.30131,-0.16532,1.9762
0.99009,-1.0675,-0.37023,-0.302,-0.16395,1.978
0.99176,-1.0663,-0.37302,-0.3027,-0.16255,1.98
0.99346,-1.0651,-0.37587,-0.30341,-0.16113,1.9819
0.9952,-1.0639,-0.37876,-0.30413,-0.15969,1.9839
0.99697,-1.0627,-0.3817,-0.30487,-0.15821,1.9859
0.99876,-1.0614,-0.3847,-0.30561,-0.15672,1.988
1.0006,-1.0602,-0.38774,-0.30638,-0.15519,1.9901
1.0024,-1.0589,-0.39084,-0.30715,-0.15364,1.9922
