shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint, wrist_3_joint
0.87266,-1.1345,1.4835,-0.2618,1.1345,-0.43633
0.87392,-1.1345,1.4857,-0.25013,1.1461,-0.42757
0.87519,-1.1345,1.4878,-0.2385,1.1578,-0.41884
0.87647,-1.1344,1.4898,-0.22692,1.1694,-0.41012
0.87775,-1.1344,1.4918,-0.21538,1.181,-0.40144
0.87905,-1.1344,1.4938,-0.2039,1.1925,-0.39278
0.88035,-1.1343,1.4956,-0.19246,1.204,-0.38415
0.88167,-1.1343,1.4974,-0.18107,1.2155,-0.37554
0.88299,-1.1343,1.4992,-0.16973,1.2269,-0.36696
0.88433,-1.1342,1.5009,-0.15845,1.2383,-0.3584
0.88568,-1.1341,1.5025,-0.14721,1.2497,-0.34988
0.88703,-1.1341,1.5041,-0.13602,1.261,-0.34138
0.8884,-1.134,1.5056,-0.12488,1.2723,-0.33291
0.88978,-1.1339,1.507,-0.1138,1.2835,-0.32446
0.89117,-1.1338,1.5084,-0.10277,1.2947,-0.31605
0.89257,-1.1337,1.5097,-0.091791,1.3058,-0.30766
0.89399,-1.1336,1.5109,-0.080866,1.317,-0.2993
0.89541,-1.1334,1.5121,-0.069994,1.328,-0.29097
0.89685,-1.1333,1.5132,-0.059177,1.3391,-0.28267
0.8983,-1.1331,1.5143,-0.048415,1.3501,-0.2744
0.89976,-1.133,1.5153,-0.037707,1.361,-0.26616
0.90123,-1.1328,1.5162,-0.027056,1.3719,-0.25795
0.90272,-1.1327,1.5171,-0.016461,1.3828,-0.24977
0.90422,-1.1325,1.5178,-0.0059218,1.3936,-0.24163
0.90573,-1.1323,1.5186,0.0045599,1.4043,-0.23351
0.90725,-1.1321,1.5192,0.014984,1.4151,-0.22542
0.90879,-1.1319,1.5198,0.02535,1.4257,-0.21736
0.91034,-1.1316,1.5204,0.035658,1.4364,-0.20934
0.9119,-1.1314,1.5208,0.045908,1.447,-0.20135
0.91348,-1.1311,1.5212,0.056097,1.4575,-0.19339
0.91507,-1.1309,1.5215,0.066228,1.468,-0.18546
0.91668,-1.1306,1.5218,0.076298,1.4784,-0.17756
0.91829,-1.1303,1.522,0.086307,1.4888,-0.1697
0.91993,-1.13,1.5221,0.096256,1.4991,-0.16187
0.92157,-1.1297,1.5221,0.10614,1.5094,-0.15407
0.92323,-1.1294,1.5221,0.11597,1.5197,-0.14631
0.92491,-1.1291,1.522,0.12573,1.5299,-0.13858
0.9266,-1.1287,1.5219,0.13543,1.54,-0.13088
0.9283,-1.1284,1.5216,0.14507,1.5501,-0.12322
0.93002,-1.128,1.5214,0.15464,1.5601,-0.11559
0.93176,-1.1276,1.521,0.16415,1.5701,-0.108
0.93351,-1.1272,1.5205,0.1736,1.5801,-0.10044
0.93527,-1.1268,1.52,0.18298,1.5899,-0.092912
0.93705,-1.1264,1.5195,0.1923,1.5998,-0.085422
0.93885,-1.126,1.5188,0.20155,1.6095,-0.077967
0.94066,-1.1255,1.5181,0.21074,1.6193,-0.070547
0.94248,-1.1251,1.5173,0.21985,1.6289,-0.063163
0.94433,-1.1246,1.5164,0.22891,1.6385,-0.055814
0.94618,-1.1241,1.5155,0.23789,1.6481,-0.048501
0.94806,-1.1236,1.5145,0.24681,1.6576,-0.041224
0.94995,-1.1231,1.5134,0.25566,1.667,-0.033983
0.95185,-1.1226,1.5122,0.26445,1.6764,-0.026779
0.95378,-1.1221,1.511,0.27316,1.6857,-0.01961
0.95572,-1.1215,1.5097,0.28181,1.695,-0.012479
0.95767,-1.1209,1.5083,0.29038,1.7042,-0.0053835
0.95964,-1.1203,1.5069,0.29889,1.7134,0.0016747
0.96163,-1.1197,1.5053,0.30733,1.7225,0.0086958
0.96364,-1.1191,1.5037,0.3157,1.7315,0.01568
0.96566,-1.1185,1.5021,0.32399,1.7405,0.022627
0.9677,-1.1179,1.5003,0.33222,1.7494,0.029536
0.96976,-1.1172,1.4985,0.34038,1.7582,0.036408
0.97183,-1.1165,1.4966,0.34846,1.767,0.043242
0.97392,-1.1158,1.4946,0.35647,1.7758,0.050038
0.97603,-1.1151,1.4926,0.36441,1.7844,0.056797
0.97816,-1.1144,1.4905,0.37228,1.793,0.063517
0.9803,-1.1137,1.4883,0.38008,1.8016,0.070199
